X,Y
Технический результат – обеспечение защиты от перегрева и повышение срока эксплуатации образующего аэрозоль устройства,обеспечение защиты от перегрева;
"Технический результат – устойчивость покрытия к толчкам или ударам, длительный межремонтный период, отсутствие склонности к образованию трещин, вклад в теплоизоляцию зданий",устойчивость покрытия к толчкам или ударам;
"Технический результат - уменьшение образования парниковых газов, повышение физико-механических свойств бетона.",уменьшение образования парниковых газов;
"Для областей применения, в которых желательная конечная толщина находится в пределах данного диапазона, горячекатаные листовые стали могут быть использованы как таковые для изготовления подвергнутой закалке под прессом детали в соответствии с представленным ниже описанием изобретения или могут быть подвергнуты отжигу с нанесением покрытия при использовании способа, описанного ниже, в случае необходимости изготовления подвергнутой закалке под прессом детали с нанесенным покрытием."," Ограниченные варианты изготовления деталей, подвергаемых закалке под прессом, с определенной конечной толщиной и требованием нанесения покрытия;Использование горячекатаных листовых сталей, которые могут быть использованы для изготовления таких деталей без покрытия или могут быть подвергнуты отжигу и нанесению покрытия при необходимости;"
"Еще одна цель изобретения представляет собой подвергнутую лазерной сварке стальную заготовку с предварительно нанесенным предварительным покрытием из алюминия, сплава на алюминиевой основе или алюминиевого сплава и подвергнутую закалке под прессом и лазерной сварке стальную деталь с нанесенным покрытием из сплава на алюминиевой основе или алюминиевого сплава.","Ограниченные возможности для сварки стальных заготовок с предварительно нанесенным покрытием из алюминия или алюминиевых сплавов, а также их последующей закалки под прессом; Использование метода подвергнутой лазерной сварке и закалки под прессом для стальных заготовок с предварительно нанесенным покрытием из алюминия или алюминиевых сплавов, обеспечивающее прочное соединение между сталью и алюминием/алюминиевыми сплавами;"
"Технический результат заключается в повышении гибкости настройки систем спутниковой связиНастоящее изобретение относится к способу производства высокопрочной листовой стали с нанесенным покрытием, характеризующейся улучшенными тягучестью и формуемостью, и к листу с нанесенным покрытием, полученному при использовании данного способа.","Ограниченная гибкость настройки систем спутниковой связи из-за отсутствия высокопрочной листовой стали с нанесенным покрытием, обладающей улучшенной тягучестью и формуемостью;Использование сварной конструкции, включающей подвергнутую закалке под прессом стальную деталь и стальную деталь с нанесенным покрытием, полученным с использованием контактной точечной сварки сопротивлением, для создания высокопрочной листовой стали с улучшенными тягучестью и формуемостью, повышающей гибкость настройки систем спутниковой связи;"
"Изобретение позволяет одновременно осуществлять связь с помощью низкоорбитальных спутников земной станции (предназначенной для связи с помощью низкоорбитальных спутников), расположенной в непосредственной близости от земной станции, работающей с геостационарным спутником и в то же самое время и в том же спектре без какой-либо необходимости для системы, использующей низкоорбитальные спутники, согласовывать свои действия каким-либо образом с любым геостационарным спутником или любой земной станцией, работающей с геостационарным спутником.",осуществление связи;низкоорбитальные спутники земной станции;
"Поэтому задача настоящего изобретения обеспечить добавку для гидравлически схватывающихся композиций, которая действует как ускоритель твердения, более предпочтительно для увеличения начальных прочностей, с начальной прочностью ,предпочтительно относящейся к прочности на сжатие после 24 часов, особенно предпочтительно к прочности на сжатие после десяти часов и наиболее предпочтительно к прочности на сжатие после шести часов.","обеспечить добавку для гидравлически схватывающихся композиций; добавка должна действовать, ускоритель твердения;"
"Другой задачей изобретения является закаленная в штампе стальная деталь с лазерной сваркой, в которой по меньшей мере одна первая стальная деталь сварного соединения представляет собой деталь с покрытием из алюминия, как было описано выше, сваренную по меньшей мере с одной второй стальной деталью, в составе которой содержится от 0,065% до 0,38% углерода по массе, и в которой металл сварного шва между первой стальной деталью и второй стальной деталью имеет содержание алюминия менее 0,3% по массе, и в которой первая стальная деталь, вторая стальная деталь и металл сварного шва подвергаются закалке в штампе в одной и той же операции.",создание закаленных стальных деталей с определенными химическими составами и свойствами; создание закаленной в штампе стальной детали с определенным химическим составом стали;
"Таким образом, одна из задач настоящего изобретения заключается в том, чтобы при изготовлении закаленной в штампе детали с пределом прочности на растяжение от 950 МПа до 1200 МПа доля поверхности, занимаемая ферритом, не превышала 5%, в противном случае требуемая прочность не может быть достигнута.","доля поверхности, занимаемая ферритом, не превышала 5%;"
